price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
4.6,58,2.0,0.0,2715.0,1928.0,1.0,1
4.0,81,3.0,0.0,5268.0,2012.0,1.0,1
2.4899999999999998,44,2.0,0.0,2781.0,1917.0,0.0,1
3.38,92,3.0,0.0,4428.0,2011.0,1.0,0
2.9899999999999998,132,5.0,0.0,7768.0,,0.0,1
1.745,66,3.0,0.0,4032.0,1946.0,0.0,1
2.27,27,1.0,0.0,1413.0,,1.0,1
2.8,49,2.0,0.0,2908.0,1941.0,0.0,1
2.825,28,1.0,0.0,1718.0,1948.0,1.0,1
2.5,21,1.0,0.0,1352.0,1941.0,1.0,1
0.65,72,2.0,0.0,5304.0,1990.0,1.0,0
1.9,67,2.0,0.0,3835.0,1986.0,1.0,0
4.85,47,2.0,0.0,1546.0,1909.0,0.0,1
1.7,40,1.0,0.0,2786.0,1955.0,0.0,1
0.17,74,3.0,0.0,4899.0,,0.0,0
1.0,55,2.0,0.0,3764.0,1954.0,0.0,1
2.4099999999999997,24,1.0,0.0,1199.0,1944.0,1.0,1
0.717,61,2.0,0.0,4705.0,1990.0,0.0,1
3.2,101,4.0,0.0,4428.0,1978.0,1.0,1
3.24,56,2.0,0.0,3260.0,2011.0,1.0,1
10.61,119,3.0,0.0,5435.0,1918.0,0.0,1
5.425000000000001,167,5.0,0.0,6518.0,1931.0,1.0,1
2.35,76,3.0,0.0,4452.0,1964.0,0.0,1
2.73,61,2.0,0.0,3074.0,1946.0,0.0,1
0.88,67,2.0,0.0,2713.0,1973.0,0.0,0
6.235,72,3.0,0.0,3710.0,2004.0,1.0,1
6.109999999999999,62,2.0,0.0,3192.0,1909.0,1.0,1
0.325,54,2.0,0.0,2719.0,1961.0,0.0,1
2.85,99,5.0,0.0,3901.0,1965.0,0.0,0
3.67,73,2.0,0.0,4208.0,2008.0,1.0,1
0.55,53,2.0,0.0,2894.0,1958.0,0.0,1
2.475,89,3.0,0.0,3770.0,1969.0,1.0,1
4.995,56,2.0,0.0,2203.0,1907.0,1.0,1
2.5,36,1.0,0.0,2237.0,1941.0,1.0,1
2.01,71,3.0,0.0,3682.0,1968.0,0.0,1
0.57,62,2.0,0.0,3850.0,1984.0,0.0,0
1.475,94,4.0,0.0,5472.0,1960.0,,0
