municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
561,Åtvidaberg,5,2022,11462,0.2167161053917292,0.13584016751003317,0.1934821657685399,0.541955350269438,0.2645624839620221,22.39,21.95,210985,75795.0,229021.3162399674,82274.43024105186,0.3966170159050745,0.4,35.0,BL,0
562,Finspång,5,2022,21889,0.22111562885467587,0.1257709351729179,0.18839117567931127,0.5338310465429109,0.2777777777777778,22.15,22.15,217362,76086.0,235943.46204968027,82590.30673950356,0.4802842413264595,0.4888888888888889,45.0,BL,0
563,Valdemarsvik,5,2022,7660,0.19321148825065274,0.15861618798955612,0.23022273425499232,0.543778801843318,0.2259984639016897,22.48,22.48,196843,85487.0,213670.36970696447,92794.96296611651,0.3566949465142014,0.34285714285714286,35.0,BL,0
580,Linköping,5,2022,165527,0.22941876551861629,0.08926036235780266,0.13564209881584322,0.3601980400163332,0.5041598611678236,20.2,20.2,236555,70569.0,256777.19962625534,76601.67910390909,0.40216126193472684,0.4050632911392405,79.0,B,0
581,Norrköping,5,2022,144458,0.23831840396516635,0.09514184053496517,0.19138045404591944,0.4482342108650238,0.36038533508905674,21.75,21.75,219980,93468.0,238785.26504949652,101458.2287191851,0.41934371140215204,0.4235294117647059,85.0,BL,0
582,Söderköping,5,2022,14673,0.23907857970421864,0.12199277584679342,0.1795959595959596,0.5003030303030302,0.3201010101010101,21.18,21.18,224067,79688.0,243221.6473490569,86500.22820831112,0.29599188229325213,0.3076923076923077,39.0,B,0
583,Motala,5,2022,43674,0.2299995420616385,0.11665979759124422,0.20649164359342162,0.5176969009574006,0.2758114554491777,21.7,21.7,209754,77173.0,227685.0826674793,83770.23029213927,0.3999791006304643,0.40350877192982454,57.0,B,0
584,Vadstena,5,2022,7528,0.18424548352816153,0.1691020191285866,0.17369970559371933,0.4961727183513248,0.33012757605495585,22.8,22.8,224415,81903.0,243599.39656370017,88904.5802497905,0.3301868982442892,0.34285714285714286,35.0,BL,0
586,Mjölby,5,2022,28269,0.23884820828469347,0.10849340266723266,0.1796277145811789,0.5268355739400207,0.2935367114788004,21.9,21.9,218961,73518.0,237679.1545617911,79802.77805213604,0.4032878239063806,0.4,45.0,BL,0
604,Aneby,6,2022,6892,0.2410040626813697,0.1022925130586187,0.20232558139534884,0.5192389006342495,0.27843551797040167,22.09,22.09,207631,72831.0,225380.5953609056,79057.04899909029,0.29673000441891295,0.3142857142857143,35.0,B,0
617,Gnosjö,6,2022,9570,0.2458725182863114,0.10052246603970742,0.2857577601947657,0.5054777845404748,0.2087644552647596,22.24,22.24,222653,79896.0,241686.76979300642,86726.0093480979,0.32802013422818793,0.34285714285714286,35.0,B,0
642,Mullsjö,6,2022,7430,0.24697173620457605,0.11641991924629878,0.20580580580580582,0.5075075075075075,0.2866866866866867,22.34,21.84,207381,69904.0,225109.22379866187,75879.83074834078,0.37263070193709646,0.37142857142857144,35.0,BL,0
643,Habo,6,2022,12810,0.31007025761124124,0.08376268540202966,0.17959183673469387,0.458703481392557,0.3617046818727491,22.17,22.17,220248,67771.0,239076.1753642218,73564.48857927734,0.3012694673472059,0.3142857142857143,35.0,B,0
662,Gislaved,6,2022,29556,0.24678576262011098,0.10586682907023955,0.26022360248447207,0.5189068322981366,0.22086956521739132,21.99,22.13,218599,78014.0,237286.20853966218,84683.12422752715,0.30415973377703825,0.30612244897959184,49.0,B,0
665,Vaggeryd,6,2022,14746,0.2597314525973145,0.09670419096704191,0.2153892455858748,0.5081260032102729,0.27648475120385235,21.49,21.49,214555,74811.0,232896.50214880775,81206.31177206057,0.3387866394001363,0.3170731707317073,41.0,B,0
680,Jönköping,6,2022,143579,0.23479756788945458,0.09675509649739865,0.1581128307538692,0.42606090863704443,0.4158262606090864,21.64,21.34,231515,72189.0,251306.34893142188,78360.16682724841,0.3880498795395735,0.3950617283950617,81.0,BL,0
