municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
780,Växjö,7,2018,91060,0.23911706567098617,0.08418625082363276,0.15878257348016386,0.4205853491378639,0.4206320773819722,20.19,20.66,204364,70595.0,251225.8199304204,86782.83238725034,0.46621801587442513,0.45901639344262296,61.0,A,0
780,Växjö,7,2022,95995,0.24313766341996979,0.09324443981457367,0.1482606418792549,0.4141392982718635,0.43760005984888156,20.19,20.19,223353,74684.0,242446.61016728883,81068.45501844076,0.43040878870597693,0.4426229508196721,61.0,B,0
781,Ljungby,7,2002,27055,0.24472371095915726,0.09865089632230642,0.31513095111865125,0.5033400487753155,0.1815290001060333,20.21,20.0,120531,38946.0,178341.40932164565,57625.71062582084,0.4349933357566945,0.4489795918367347,49.0,BL,0
781,Ljungby,7,2006,27093,0.24205514339497286,0.10235116081644706,0.28406940063091485,0.508937960042061,0.2069926393270242,20.96,20.21,142857,45152.0,202911.1561975911,64132.97580541124,0.4283323000619963,0.42857142857142855,49.0,BL,0
781,Ljungby,7,2010,27410,0.23279824881430136,0.10087559284932507,0.25577237433592154,0.5213526767470372,0.22287494891704127,20.96,20.96,162948,53709.0,216775.65970347627,71451.0390248055,0.3834011292574829,0.3877551020408163,49.0,V,1
781,Ljungby,7,2014,27277,0.21578619349635222,0.10411702166660557,0.22040418547394336,0.535853508411982,0.24374230611407469,21.46,20.96,176166,60077.0,226860.59484676667,77365.12128679315,0.3890454385346953,0.40816326530612246,49.0,A,0
781,Ljungby,7,2018,28297,0.22073011273279852,0.10782061702653992,0.1924192317476469,0.5378784024421267,0.2697023658102264,21.07,21.46,197948,67727.0,243338.5948777028,83257.18378201436,0.40772996357012753,0.40816326530612246,49.0,A,0
781,Ljungby,7,2022,28433,0.2226286357401611,0.12464389969401751,0.18359618178045237,0.5309192778584768,0.28548454036107074,21.07,21.07,214249,77967.0,232564.34335662142,84632.10637382533,0.3353022357162572,0.32653061224489793,49.0,B,0
821,Högsby,8,2002,6349,0.2526382107418491,0.1310442589384155,0.38618373710722,0.48548812664907653,0.12832813624370354,21.66,21.43,101384,52257.0,150010.9137289637,77321.07944778718,0.535741348825461,0.5365853658536586,41.0,V,1
821,Högsby,8,2006,6066,0.23326739202110122,0.12561819980217606,0.3523002421307506,0.4973365617433414,0.15036319612590798,22.06,21.66,123233,59179.0,175037.62861951283,84056.63924495995,0.5132261410788381,0.5121951219512195,41.0,B,0
821,Högsby,8,2010,5873,0.21556274476417503,0.12480844542823089,0.31639384314683605,0.518201807964818,0.16540434888834596,22.12,22.06,141328,62125.0,188013.78620524888,82647.1503736067,0.44537815126050423,0.43902439024390244,41.0,A,0
821,Högsby,8,2014,5718,0.2037425673312347,0.12364463098985659,0.27798647633358375,0.5354370147758577,0.1865765088905585,21.71,22.12,148989,63797.0,191862.97676977917,82155.61101142771,0.46626604752799783,0.4634146341463415,41.0,V,1
821,Högsby,8,2018,6087,0.23311976343026122,0.11286347954657466,0.2691094394564426,0.5292404756127154,0.20165008493084202,21.71,21.71,163519,85064.0,201014.83064141637,104569.65584232683,0.4358904852263486,0.42857142857142855,35.0,A,0
821,Högsby,8,2022,5645,0.22338352524357838,0.12949512843224092,0.23083131557707828,0.5531342480495023,0.21603443637341943,22.21,21.71,181801,92798.0,197342.48554988415,100730.95293237193,0.3687413554633472,0.37142857142857144,35.0,B,0
834,Torsås,8,2002,7361,0.2426300774351311,0.12172259203912512,0.3827969805323798,0.47040127135478743,0.14680174811283273,21.58,21.35,104532,43759.0,154668.79225435999,64747.174838887026,0.4002607561929596,0.4,35.0,B,0
834,Torsås,8,2006,7240,0.23397790055248618,0.11795580110497238,0.33346542500495346,0.4941549435308104,0.17237963146423618,21.58,21.58,129201,50064.0,183514.45355764832,71109.87997701338,0.43373221946263263,0.45714285714285713,35.0,B,0
834,Torsås,8,2010,7044,0.22685973878478138,0.11612720045428733,0.30118307599759375,0.5053138159213957,0.19350310808101062,21.84,21.58,146162,59435.0,194444.63248140202,79068.54539163482,0.35109013261407057,0.34285714285714286,35.0,V,1
834,Torsås,8,2014,6879,0.20090129379270244,0.11949411251635413,0.2546786004882018,0.5305126118795769,0.21480878763222133,21.43,21.84,158540,65592.0,204162.4303611729,84467.15108016938,0.394974652854309,0.4,35.0,A,0
834,Torsås,8,2018,7083,0.21120993929126078,0.11972328109558097,0.23137812056017862,0.5254718895879845,0.2431499898518368,21.43,21.43,177545,78049.0,218257.07169338284,95946.07670504287,0.3770387629739462,0.37142857142857144,35.0,BL,0
834,Torsås,8,2022,7113,0.21200618585688177,0.13566708842963587,0.20822199383350462,0.530524152106886,0.26125385405960944,21.43,21.43,196297,84424.0,213077.69421502418,91641.0910834562,0.3606041535556954,0.34285714285714286,35.0,BL,0
840,Mörbylånga,8,2002,13410,0.2570469798657718,0.09925428784489188,0.3119533527696793,0.4662563438073642,0.2217903034229565,20.56,20.33,114076,38434.0,168790.39093491342,56868.1395314743,0.44482173174872663,0.4489795918367347,49.0,B,0
840,Mörbylånga,8,2006,13405,0.24722118612458038,0.1001118985453189,0.2794912559618442,0.4701642819289878,0.250344462109168,21.56,20.56,138134,42330.0,196202.7037540901,60124.66481757304,0.4325581395348837,0.42857142857142855,49.0,B,0
